,CPI_YoY,SNB_Policy_Rate,GDP_Growth,Unemployment,Default_Rate,KPR_Mortgage,Bunga_Kredit,Kredit_Konsumsi,Risk_Level
2024-03-01,3.3145597481011286,0.3902086814308416,2.2299291658239127,2.0735810351179143,1.2900342255840398,Dorong Floating Rate,Pertahankan Kompetitif,PERKETAT (Hanya Score A/B),HIGH - Increase Reserves
2024-04-01,3.4391042601423645,0.5107752986962651,3.5088649350138286,1.7417673323084257,1.259592152837738,Dorong Floating Rate,Pertahankan Kompetitif,PERKETAT (Hanya Score A/B),HIGH - Increase Reserves
2024-05-01,3.6025892716827084,0.6701643748034886,3.593799391963096,1.6476782529131104,1.2439652956716851,Dorong Floating Rate,Pertahankan Kompetitif,PERKETAT (Hanya Score A/B),HIGH - Increase Reserves
2024-06-01,3.9990172220270663,0.8400576455218063,3.35512904077631,1.7635231306584398,1.2769491549098604,Dorong Floating Rate,Pertahankan Kompetitif,PERKETAT (Hanya Score A/B),HIGH - Increase Reserves
2024-07-01,4.170463091086221,1.0132173918230043,3.528654148707072,1.69664919168856,1.3000806344026867,Dorong Floating Rate,Pertahankan Kompetitif,PERKETAT (Hanya Score A/B),HIGH - Increase Reserves
2024-08-01,4.4158853633933015,1.2061588474997866,3.73055021693096,1.6148034425879976,1.3174862954403381,Dorong Floating Rate,Pertahankan Kompetitif,PERKETAT (Hanya Score A/B),HIGH - Increase Reserves
